time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447950000	20.2689	11.6228	4.57475	1.48601	0.485372	radar	16.1475	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3381	11.8584	4.60516	1.49516	0.47315	lidar	4.37297	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3535	12.1051	4.79638	1.51473	0.466478	radar	3.5038	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3482	12.3898	4.89792	1.54746	0.474927	lidar	0.758702	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3175	12.5971	4.61909	1.58601	0.491616	radar	4.03667	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3408	12.8343	4.63498	1.60186	0.484597	lidar	1.47357	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3521	13.0207	4.49198	1.61767	0.477893	radar	5.42679	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3173	13.2327	4.46485	1.64749	0.482512	lidar	1.00547	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2824	13.462	4.50417	1.67584	0.485493	radar	1.67838	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2542	13.7393	4.63299	1.70309	0.488879	lidar	1.57828	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2195	13.9338	4.4797	1.73012	0.492745	radar	1.63409	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1561	14.2114	4.6246	1.76424	0.501525	lidar	1.11155	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.09	14.4321	4.59846	1.79625	0.507868	radar	1.79773	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9766	14.7097	4.75602	1.84072	0.524455	lidar	2.54492	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9258	14.8972	4.67451	1.86045	0.517153	radar	5.43888	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8819	15.1306	4.68446	1.87807	0.510584	lidar	1.30014	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7885	15.2994	4.32584	1.92664	0.54	radar	9.4879	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7473	15.4978	4.2904	1.94229	0.530679	lidar	1.62703	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6804	15.6649	4.19804	1.96628	0.528245	radar	2.34212	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5567	15.913	4.36717	2.00201	0.53677	lidar	1.09991	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4566	16.1154	4.42599	2.02703	0.532865	radar	1.49921	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.3348	16.3127	4.44764	2.06024	0.538234	lidar	0.583596	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.2324	16.4906	4.38057	2.0893	0.541338	radar	0.508326	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
